Elektrizitätsbilanz der Schweiz - Monatswerte, in GWh   ;;;;;;;;;;;;;
Bilan suisse de l'électricité - valeurs mensuelles, en GWh  ;;;;;;;;;;;;;
 ;;;;;;;;;;;;;
"Quelle: Bundesamt für Energie BFE; aktualisiert am 30.8.2024.";;;;;;;;;;;;;
"Source: Office fédéral de l'énergie OFEN; actualisé le 30.8.2024.";;;;;;;;;;;;;
;;;;;;;;;;;;;
Monat / Jahr;;            Landeserzeugung;;;Verbrauch der;Netto-;Einfuhr;Ausfuhr;Landes-;Verluste;Endverbrauch;Ausfuhr- /;
;Wasserkraftwerke;Kernkraftwerke;Konv.-therm. und;Total;Speicherpumpen;erzeugung;;;verbrauch;;;Einfuhr-;
;;;erneuerbare Kraftwerke;;;;ab 2000:physikalisch;ab 2000:physikalisch;;;;Überschuss;
;;;;;;;;;;;;;
Mois / Année;;          Production nationale;;;Pompage;Production;Importation;Exportation;Consommation;Pertes;Consommation;Solde;
;Centrales;Centrales;Centrales;Total;d'acccumulation;nette;;;du pays;;finale;exportateur /;
;hydrauliques;nucléaires;thermiques classique;;;;dès 2000:physique;dès 2000:physique;;;;importateur;
;;;et renouvelables;;;;;;;;;;
;;;;;;;;;;;;;
Januar / Janvier 1990;2009;2185;134;4328;49;4279;2616;1974;4921;332;4589;642;
Februar / Février 1990;1805;1964;160;3929;67;3862;2113;1741;4234;313;3921;372;
März / Mars 1990;2437;2172;127;4736;40;4696;1895;2100;4491;334;4157;-205;
April / Avril 1990;2220;2105;72;4397;62;4335;1799;2015;4119;323;3796;-216;
Mai / Mai 1990;2897;1940;60;4897;249;4648;1423;2202;3869;288;3581;-779;
Juni / Juin 1990;3381;1188;54;4623;212;4411;1521;2158;3774;261;3513;-637;
Juli / Juillet 1990;3570;1592;61;5223;321;4902;1287;2557;3632;286;3346;-1270;
August / Août 1990;3103;910;55;4068;305;3763;1735;1850;3648;275;3373;-115;
September / Septembre 1990;2337;1831;61;4229;172;4057;1921;2173;3805;279;3526;-252;
Oktober / Octobre 1990;2288;2131;81;4500;92;4408;2107;2228;4287;320;3967;-121;
November / Novembre 1990;2371;2107;112;4590;64;4526;2056;1949;4633;334;4299;107;
Dezember / Décembre 1990;2257;2173;124;4554;62;4492;2326;1960;4858;348;4510;366;
Januar / Janvier 1991;2500;2178;136;4814;55;4759;2338;2170;4927;333;4594;168;
Februar / Février 1991;2578;1974;180;4732;26;4706;2207;2186;4727;346;4381;21;
März / Mars 1991;2218;2174;132;4524;109;4415;2195;2153;4457;330;4127;42;
April / Avril 1991;2435;2067;73;4575;70;4505;1838;2158;4185;325;3860;-320;
